source_occurrence_id,index_url,original_href,normalized_url,acquisition_status,canonical_document_id,content_sha256,duplicate_content_group_id,canonical_versus_duplicate,extraction_status,character_count,image_only_flag,ocr_backlog_flag,raw_source_document_type,normalized_document_classification,classification_method,classification_confidence,corpus_scope,facility_match_status,njdoh_facid,njdoh_license_number,internal_facility_id,match_method,match_confidence,public_eligibility,baseline_only,source_year,source_listed_facility_name
nj-doh-enforcement-0657,https://www.nj.gov/health/healthfacilities/surveys-insp/enforcement_actions.shtml,/health/healthfacilities/surveys-insp/ea-the-clare-estate-08282024.pdf,https://www.nj.gov/health/healthfacilities/surveys-insp/ea-the-clare-estate-08282024.pdf,EXISTING_HASH_VERIFIED,99be54a0f3b138b7df4bc3bba5253f53afca2ea08b5d3fae32002dbace782f7f,99be54a0f3b138b7df4bc3bba5253f53afca2ea08b5d3fae32002dbace782f7f,,CANONICAL,SEE_CORPUS_SUMMARY_GRAIN,,,true,Notice of Assessment of Penalties,penalty_letter,INDEX_METADATA,index_action,,,,,,,,false,true,2024,The Clare Estate
nj-doh-enforcement-0658,https://www.nj.gov/health/healthfacilities/surveys-insp/enforcement_actions.shtml,/health/healthfacilities/surveys-insp/ea-river-front-rehabilitation-and-healthcare-center08222024.pdf,https://www.nj.gov/health/healthfacilities/surveys-insp/ea-river-front-rehabilitation-and-healthcare-center08222024.pdf,EXISTING_HASH_VERIFIED,5ea90666e3334646473f85e84fd731e5601e041129c7d160e3c4e808f7461a2a,5ea90666e3334646473f85e84fd731e5601e041129c7d160e3c4e808f7461a2a,,CANONICAL,SEE_CORPUS_SUMMARY_GRAIN,,,true,Notice of Assessment of Penalties,penalty_letter,INDEX_METADATA,index_action,,,,,,,,false,true,2024,River Front Rehabilitation and Healthcare Center
nj-doh-enforcement-0659,https://www.nj.gov/health/healthfacilities/surveys-insp/enforcement_actions.shtml,/health/healthfacilities/surveys-insp/ea-2nd-home-union-city-08212024.pdf,https://www.nj.gov/health/healthfacilities/surveys-insp/ea-2nd-home-union-city-08212024.pdf,EXISTING_HASH_VERIFIED,5d83fc0d92cfc4ffb954ad6b0a73f15339e04fd8ba91a51c93dd3d0ac76080a8,5d83fc0d92cfc4ffb954ad6b0a73f15339e04fd8ba91a51c93dd3d0ac76080a8,,CANONICAL,SEE_CORPUS_SUMMARY_GRAIN,,,true,Notice of Assessment of Penalties,penalty_letter,INDEX_METADATA,index_action,,,,,,,,false,true,2024,"2nd Home Union City, LLC"
nj-doh-enforcement-0660,https://www.nj.gov/health/healthfacilities/surveys-insp/enforcement_actions.shtml,/health/healthfacilities/surveys-insp/ea-hammonton-center-for-rehabilitation-and-healthcare-08212024.pdf,https://www.nj.gov/health/healthfacilities/surveys-insp/ea-hammonton-center-for-rehabilitation-and-healthcare-08212024.pdf,EXISTING_HASH_VERIFIED,4a1b5f0e9c946eb2f0b5899c1628b6c3ce58a56696ca63d9d5b3426ba43ca5db,4a1b5f0e9c946eb2f0b5899c1628b6c3ce58a56696ca63d9d5b3426ba43ca5db,,CANONICAL,SEE_CORPUS_SUMMARY_GRAIN,,,true,Notice of Assessment of Penalties,penalty_letter,INDEX_METADATA,index_action,,,,,,,,false,true,2024,Hammonton Center for Rehabilitation and Healthcare
nj-doh-enforcement-0661,https://www.nj.gov/health/healthfacilities/surveys-insp/enforcement_actions.shtml,/health/healthfacilities/surveys-insp/ea-arbor-glen-center-08202024.pdf,https://www.nj.gov/health/healthfacilities/surveys-insp/ea-arbor-glen-center-08202024.pdf,EXISTING_HASH_VERIFIED,843921e016f70e4d896d8c8dd04eb213ad46c5e7d84f638f3d1a9c2be984faad,843921e016f70e4d896d8c8dd04eb213ad46c5e7d84f638f3d1a9c2be984faad,,CANONICAL,SEE_CORPUS_SUMMARY_GRAIN,,,true,Notice of Assessment of Penalties,penalty_letter,INDEX_METADATA,index_action,,,,,,,,false,true,2024,Arbor Glen Center
nj-doh-enforcement-0662,https://www.nj.gov/health/healthfacilities/surveys-insp/enforcement_actions.shtml,/health/healthfacilities/surveys-insp/ea-allaire-rehab-and-nursing-08192024.pdf,https://www.nj.gov/health/healthfacilities/surveys-insp/ea-allaire-rehab-and-nursing-08192024.pdf,EXISTING_HASH_VERIFIED,cc85e7d0b265fbc16f30ec4806f13d525afe1bbd45bf5b58219b4c135dfe2e87,cc85e7d0b265fbc16f30ec4806f13d525afe1bbd45bf5b58219b4c135dfe2e87,,CANONICAL,SEE_CORPUS_SUMMARY_GRAIN,,,true,Curtailment of Admissions,admission_curtailment,INDEX_METADATA,index_action,,,,,,,,false,true,2024,Allaire Rehab and Nursing
nj-doh-enforcement-0663,https://www.nj.gov/health/healthfacilities/surveys-insp/enforcement_actions.shtml,/health/healthfacilities/surveys-insp/EA-Seacrest-Rehab-and-Healthcare-Center-08192024.pdf.pdf,https://www.nj.gov/health/healthfacilities/surveys-insp/EA-Seacrest-Rehab-and-Healthcare-Center-08192024.pdf.pdf,HTTP_404_SOURCE_DOCUMENT_UNAVAILABLE,,,,NO_CONTENT,SOURCE_UNAVAILABLE,,,false,Notice of Assessment of Penalties,penalty_letter,INDEX_METADATA,index_action,SOURCE_DOCUMENT_UNAVAILABLE,,,,,,,false,true,2024,Seacrest Rehab and Healthcare Center
nj-doh-enforcement-0664,https://www.nj.gov/health/healthfacilities/surveys-insp/enforcement_actions.shtml,/health/healthfacilities/surveys-insp/ea-samwell-surgical-llc-08152024.pdf,https://www.nj.gov/health/healthfacilities/surveys-insp/ea-samwell-surgical-llc-08152024.pdf,EXISTING_HASH_VERIFIED,f4cb7a2f4c3c00ed3f0441d52e94d9dcc124baf23b75f6bce84cfbbda39ae0c9,f4cb7a2f4c3c00ed3f0441d52e94d9dcc124baf23b75f6bce84cfbbda39ae0c9,,CANONICAL,SEE_CORPUS_SUMMARY_GRAIN,,,true,"Order Temporarily Lifting Curtailment of Services, from August 26, 2024 through September 6, 2024, for Purposes of Accreditation Survey",admission_curtailment,INDEX_METADATA,index_action,,,,,,,,false,true,2024,"Samwell Surgical LLC, Operator of Englewood Cliffs Surgery Center"
nj-doh-enforcement-0665,https://www.nj.gov/health/healthfacilities/surveys-insp/enforcement_actions.shtml,/health/healthfacilities/surveys-insp/ea-morris-view-healthcare-center-08142024.pdf,https://www.nj.gov/health/healthfacilities/surveys-insp/ea-morris-view-healthcare-center-08142024.pdf,EXISTING_HASH_VERIFIED,188a5fa25862c17ba0b5db611338604307c49729d41672b93eee4804665be797,188a5fa25862c17ba0b5db611338604307c49729d41672b93eee4804665be797,,CANONICAL,SEE_CORPUS_SUMMARY_GRAIN,,,true,Curtailment of Admissions Order,admission_curtailment,INDEX_METADATA,index_action,,,,,,,,false,true,2024,Morris View Healthcare Center
nj-doh-enforcement-0666,https://www.nj.gov/health/healthfacilities/surveys-insp/enforcement_actions.shtml,/health/healthfacilities/surveys-insp/ea-autumn-lake-healthcare-at-berkley-heights-08142024.pdf,https://www.nj.gov/health/healthfacilities/surveys-insp/ea-autumn-lake-healthcare-at-berkley-heights-08142024.pdf,EXISTING_HASH_VERIFIED,0be12b4a413e5ccca90dbb6e810e66e0caa65b187cc27fbb75d602a48fa9bb2c,0be12b4a413e5ccca90dbb6e810e66e0caa65b187cc27fbb75d602a48fa9bb2c,,CANONICAL,SEE_CORPUS_SUMMARY_GRAIN,,,true,Notice of Assessment of Penalties,penalty_letter,INDEX_METADATA,index_action,,,,,,,,false,true,2024,Autumn Lake Healthcare at Berkeley Heights
