source_occurrence_id,document_year,index_classification,facility_name,ocr_priority,already_classifiable_from_index,reason,public_eligibility
nj-doh-enforcement-0001,2026,penalty_letter,Manahawkin Health and Rehabilitation Center,NO_OCR_NEEDED,true,Index action already classifies the document; OCR is for detail fields only,false
nj-doh-enforcement-0002,2026,penalty_letter,Regency Heritage Nursing and Rehabilitation Center,NO_OCR_NEEDED,true,Index action already classifies the document; OCR is for detail fields only,false
nj-doh-enforcement-0003,2026,penalty_letter,Optima Care at Harborview,NO_OCR_NEEDED,true,Index action already classifies the document; OCR is for detail fields only,false
nj-doh-enforcement-0004,2026,penalty_letter,Hamilton Grove Healthcare and Rehabilitation,NO_OCR_NEEDED,true,Index action already classifies the document; OCR is for detail fields only,false
nj-doh-enforcement-0005,2026,penalty_letter,Green Hill,NO_OCR_NEEDED,true,Index action already classifies the document; OCR is for detail fields only,false
nj-doh-enforcement-0006,2026,directed_plan_of_correction,The Fountains of Atco,NO_OCR_NEEDED,true,Index action already classifies the document; OCR is for detail fields only,false
nj-doh-enforcement-0007,2026,penalty_letter,Optima Care at Harborview,NO_OCR_NEEDED,true,Index action already classifies the document; OCR is for detail fields only,false
nj-doh-enforcement-0008,2026,penalty_letter,Complete Care at St. Vincents,NO_OCR_NEEDED,true,Index action already classifies the document; OCR is for detail fields only,false
nj-doh-enforcement-0009,2026,penalty_letter,Complete Care at Mercerville,NO_OCR_NEEDED,true,Index action already classifies the document; OCR is for detail fields only,false
nj-doh-enforcement-0010,2026,penalty_letter,Whiting Gardens Rehab and Nursing Center,NO_OCR_NEEDED,true,Index action already classifies the document; OCR is for detail fields only,false
nj-doh-enforcement-0011,2026,penalty_letter,Regency Heritage Nursing and Rehab Center,NO_OCR_NEEDED,true,Index action already classifies the document; OCR is for detail fields only,false
nj-doh-enforcement-0012,2026,penalty_letter,Regency Heritage Nursing and Rehabilitation Center,NO_OCR_NEEDED,true,Index action already classifies the document; OCR is for detail fields only,false
nj-doh-enforcement-0013,2026,penalty_letter,Complete Care at Linwood,NO_OCR_NEEDED,true,Index action already classifies the document; OCR is for detail fields only,false
nj-doh-enforcement-0014,2026,penalty_letter,The Pines at Medford,NO_OCR_NEEDED,true,Index action already classifies the document; OCR is for detail fields only,false
nj-doh-enforcement-0015,2026,admission_curtailment,The Fountains of Atco,NO_OCR_NEEDED,true,Index action already classifies the document; OCR is for detail fields only,false
nj-doh-enforcement-0016,2026,penalty_letter,Ridgewood Center,NO_OCR_NEEDED,true,Index action already classifies the document; OCR is for detail fields only,false
nj-doh-enforcement-0017,2026,penalty_letter,CareOne at East Brunswick,NO_OCR_NEEDED,true,Index action already classifies the document; OCR is for detail fields only,false
nj-doh-enforcement-0018,2026,penalty_letter,Complete Care at Wayne Hills Rehab and Respiratory Center,NO_OCR_NEEDED,true,Index action already classifies the document; OCR is for detail fields only,false
nj-doh-enforcement-0019,2026,penalty_letter,Manhattanview Center for Rehab and Healthcare,NO_OCR_NEEDED,true,Index action already classifies the document; OCR is for detail fields only,false
nj-doh-enforcement-0020,2026,penalty_letter,Complete Care at Chestnut Hill,NO_OCR_NEEDED,true,Index action already classifies the document; OCR is for detail fields only,false
nj-doh-enforcement-0021,2026,penalty_letter,The Buckingham at Norwood,NO_OCR_NEEDED,true,Index action already classifies the document; OCR is for detail fields only,false
nj-doh-enforcement-0022,2026,penalty_letter,Manahawkin Health and Rehab Center,NO_OCR_NEEDED,true,Index action already classifies the document; OCR is for detail fields only,false
nj-doh-enforcement-0023,2026,penalty_letter,CareOne at Evesham,NO_OCR_NEEDED,true,Index action already classifies the document; OCR is for detail fields only,false
nj-doh-enforcement-0024,2026,penalty_letter,Autumn Lake Healthcare at Southgate,NO_OCR_NEEDED,true,Index action already classifies the document; OCR is for detail fields only,false
nj-doh-enforcement-0025,2026,penalty_letter,Redbank Center for Rehabilitation & Healing,NO_OCR_NEEDED,true,Index action already classifies the document; OCR is for detail fields only,false
nj-doh-enforcement-0026,2026,penalty_letter,Complete Care at Phillipsburg,NO_OCR_NEEDED,true,Index action already classifies the document; OCR is for detail fields only,false
nj-doh-enforcement-0027,2026,penalty_letter,Aristacare at Cherry Hill,NO_OCR_NEEDED,true,Index action already classifies the document; OCR is for detail fields only,false
nj-doh-enforcement-0028,2026,penalty_letter,Big Oak Rehabilitation & Healthcare Center,NO_OCR_NEEDED,true,Index action already classifies the document; OCR is for detail fields only,false
nj-doh-enforcement-0029,2026,penalty_letter,Merwick Care Center,NO_OCR_NEEDED,true,Index action already classifies the document; OCR is for detail fields only,false
nj-doh-enforcement-0030,2026,penalty_letter,Laurel Brook Rehab and Healthcare Center,NO_OCR_NEEDED,true,Index action already classifies the document; OCR is for detail fields only,false
nj-doh-enforcement-0031,2026,penalty_letter,Atlas Rehab and Healthcare at Daughters of Moses,NO_OCR_NEEDED,true,Index action already classifies the document; OCR is for detail fields only,false
nj-doh-enforcement-0032,2026,penalty_letter,Belle Care Nursing and Rehabilitation,NO_OCR_NEEDED,true,Index action already classifies the document; OCR is for detail fields only,false
nj-doh-enforcement-0033,2026,admission_curtailment,Green Hill,NO_OCR_NEEDED,true,Index action already classifies the document; OCR is for detail fields only,false
nj-doh-enforcement-0034,2026,penalty_letter,Whiting Gardens Rehab and Nursing Center,NO_OCR_NEEDED,true,Index action already classifies the document; OCR is for detail fields only,false
nj-doh-enforcement-0035,2026,penalty_letter,Crystal Lake Healthcare and Rehab Center,NO_OCR_NEEDED,true,Index action already classifies the document; OCR is for detail fields only,false
nj-doh-enforcement-0036,2026,penalty_letter,Holly Manor Center,NO_OCR_NEEDED,true,Index action already classifies the document; OCR is for detail fields only,false
nj-doh-enforcement-0037,2026,penalty_letter,Family of Caring at Park Ridge,NO_OCR_NEEDED,true,Index action already classifies the document; OCR is for detail fields only,false
nj-doh-enforcement-0038,2026,penalty_letter,Optima Care Harborview,NO_OCR_NEEDED,true,Index action already classifies the document; OCR is for detail fields only,false
nj-doh-enforcement-0039,2026,penalty_letter,Broadway House for Continuing Care,NO_OCR_NEEDED,true,Index action already classifies the document; OCR is for detail fields only,false
nj-doh-enforcement-0040,2026,penalty_letter,Complete Care at Wayne Hills Rehabilitation and Respiratory Center,NO_OCR_NEEDED,true,Index action already classifies the document; OCR is for detail fields only,false
nj-doh-enforcement-0041,2026,penalty_letter,Aristacare at Parkside,NO_OCR_NEEDED,true,Index action already classifies the document; OCR is for detail fields only,false
