0,0,county,title,url,fill_color
1,1,Alamance,"-Burlington - Oak Creek Apartments <br />- The Village at Brookwood <br />-Burlington - Twin Lakes Community<br />",https://ncdoi.maps.arcgis.com/apps/dashboards/3b36b8a899344f78a5525cf1f11584e3#county=Alamance,Black
2,2,Alexander,,,"Off White"
3,3,Alleghany,,,"Off White"
4,4,Anson,,,"Off White"
5,5,Ashe,,,"Off White"
6,6,Avery,,,"Off White"
7,7,Beaufort,,,"Off White"
8,8,Bertie,,,"Off White"
9,9,Bladen,,,"Off White"
10,10,Brunswick,,,"Off White"
11,11,Buncombe,"-Arden - Ardenwoods <br />- Asheville - Brooks-Howell Home <br />-Asheville - Deerfield Episcopal Retirement Community <br />- Asheville - Givens Estates <br /> - Black Mountain - Givens Highland Farms <br /> - Candler - Pisgah Valley Retirement Community",https://ncdoi.maps.arcgis.com/apps/dashboards/3b36b8a899344f78a5525cf1f11584e3#county=Buncombe,Blue
12,12,Burke,"-Morganton - Grace Ridge Retirement Community",https://ncdoi.maps.arcgis.com/apps/dashboards/3b36b8a899344f78a5525cf1f11584e3#county=Burke,"Light Blue"
13,13,Cabarrus,"-Concord - The Gardens at Taylor Glen",https://ncdoi.maps.arcgis.com/apps/dashboards/3b36b8a899344f78a5525cf1f11584e3#county=Cabarrus,Green
14,14,Caldwell,,,"Off White"
15,15,Camden,,,"Off White"
16,16,Carteret,,,"Off White"
17,17,Caswell,,,"Off White"
18,18,Catawba,"-Newton - Abernethy Laurels",https://ncdoi.maps.arcgis.com/apps/dashboards/3b36b8a899344f78a5525cf1f11584e3#county=Catawba,"Light Green"
19,19,Chatham,"-Chapel Hill - Carolina Meadows Retirement Community <br />- Pittsboro - Galloway Ridge at Fearrington <br />-Pittsboro - Pittsboro Christian Village",https://ncdoi.maps.arcgis.com/apps/dashboards/3b36b8a899344f78a5525cf1f11584e3#county=Chatham,Olive
20,20,Cherokee,,,"Off White"
21,21,Chowan,,,"Off White"
22,22,Clay,,,"Off White"
23,23,Cleveland,,,"Off White"
24,24,Columbus,,,"Off White"
25,25,Craven,,,"Off White"
26,26,Cumberland,,,"Off White"
27,27,Currituck,,,"Off White"
28,28,Dare,,,"Off White"
29,29,Davidson,"-Thomasville - Piedmont Crossing",https://ncdoi.maps.arcgis.com/apps/dashboards/3b36b8a899344f78a5525cf1f11584e3#county=Davidson,"Light Olive"
30,30,Davie,,,"Off White"
31,31,Duplin,,,"Off White"
32,32,Durham,"-Chapel Hill - The Cedars of Chapel Hill <br />- Durham - Croasdaile Village Retirement Community <br />-Durham - The Forest at Duke",https://ncdoi.maps.arcgis.com/apps/dashboards/3b36b8a899344f78a5525cf1f11584e3#county=Durham,Orange
33,33,Edgecombe,,,"Off White"
34,34,Forsyth,"-Clemmons - Trinity Elms <br />- Winston-Salem - Arbor Acres <br />-Winston-Salem - Brookridge Retirement Community  <br />-Winston-Salem - Salemtowne",https://ncdoi.maps.arcgis.com/apps/dashboards/3b36b8a899344f78a5525cf1f11584e3#county=Forsyth,"Light Orange"
35,35,Franklin,,,"Off White"
36,36,Gaston,"-Gastonia - Covenant Village <br />- Stanley - Stanley Total Living Center",https://ncdoi.maps.arcgis.com/apps/dashboards/3b36b8a899344f78a5525cf1f11584e3#county=Gaston,"Deep Purple"
37,37,Gates,,,"Off White"
38,38,Graham,,,"Off White"
39,39,Granville,,,"Off White"
40,40,Greene,,,"Off White"
41,41,Guilford,"-Colfax - River Landing at Sandy Ridge <br />- Greensboro - Friends Homes, Inc. <br />-Greensboro - Well-Spring Retirement Community  <br />-Greensboro - Whitestone: A Masonic and Eastern Star Community <br />-High Point - Pennybyrn at Maryfield<br />-High Point - Providence Place",https://ncdoi.maps.arcgis.com/apps/dashboards/3b36b8a899344f78a5525cf1f11584e3#county=Guilford,"Light Purple"
42,42,Halifax,,,"Off White"
43,43,Harnett,,,"Off White"
44,44,Haywood,,,"Off White"
